tof,sweep
55445242.4,196
55445260.9,196
55447196.0,196
55445188.8,197
55445236.1,197
55445287.0,197
55447217.4,197
55447261.9,197
55447233.3,198
55448277.3,198
55447095.5,199
55447237.8,199
55445212.9,200
55445229.0,200
55445305.2,200
55447154.6,201
55447188.6,201
55447198.1,201
55447330.9,201
55447174.2,202
55447219.2,202
55447142.4,203
55447217.2,203
55447224.4,203
55447134.0,204
55447154.2,204
55447169.7,204
55447189.3,204
55447258.6,204
55445263.1,205
55445270.9,205
55447232.9,205
55445222.6,206
55445276.7,206
55447125.5,206
55447138.2,206
55447182.1,206
55447152.9,207
55447171.7,207
55447174.9,207
55447192.5,207
55447220.8,207
55447594.7,207
55447047.4,208
55447181.7,208
55447195.4,208
55447617.3,208
55447224.7,209
55447155.7,210
55447179.1,210
55447190.2,210
55447195.8,210
55447209.8,210
55445232.3,211
55447209.4,211
55446041.8,212
55447155.8,212
55447075.9,213
55447168.1,213
55447183.7,213
55445271.2,214
55447113.7,214
55447173.9,214
55447203.5,214
55447208.7,214
55447290.0,214
55445095.6,215
55447160.5,215
55447165.3,215
55447175.5,215
55447120.3,216
55447127.0,216
55447183.0,216
55447207.3,216
55445181.2,217
55447173.5,217
55445260.9,218
55447011.9,218
55447134.7,218
55447189.2,219
55447227.7,219
55447235.2,219
55445256.9,220
55447058.8,220
55447078.9,220
55447192.2,220
55447195.8,221
55447206.9,221
55447040.5,222
55447093.3,222
55447190.8,222
55447120.4,223
55447146.9,223
55447179.2,223
55447274.6,223
55447102.1,224
55445228.1,225
55447139.0,225
55447159.8,225
55447186.3,225
55447189.2,226
55447259.1,226
55448518.6,226
55445261.0,227
55447106.4,227
55447115.2,227
55447163.9,227
55447167.8,227
55447178.7,227
55447365.4,227
55447128.1,228
55447151.3,228
55447170.9,228
55447181.4,228
55447107.2,229
55447130.6,229
55447194.8,229
55447208.9,229
55445195.5,230
55445214.4,230
55445270.3,230
55447091.4,230
55447195.0,230
55447199.3,230
55447209.5,230
55447092.2,231
55447193.8,231
55447111.3,232
55447120.6,232
55447124.8,232
55447183.0,232
55447214.6,232
55447217.1,232
55447175.6,233
55447212.0,233
55447043.7,234
55447111.8,234
55447182.5,234
55447205.4,234
55447214.1,234
55445216.5,235
55447161.8,235
55447202.0,235
55447272.9,235
55445257.5,236
55447155.8,236
55447199.7,236
55445233.4,237
55445257.4,237
55447070.1,237
55447176.7,237
55448376.1,237
55447177.7,238
55447215.9,238
55445202.0,239
55445213.2,240
55447171.2,240
55447139.7,241
55447179.8,241
55447170.9,242
55447230.5,242
55445222.1,243
55445251.2,243
55445304.4,243
55447145.2,243
55447172.2,243
55447174.6,243
55447177.2,243
55447181.1,243
55447190.3,243
55445263.9,244
55445314.8,244
55445328.5,244
55447150.5,244
55447158.0,244
55447189.0,244
55447132.2,245
55445218.1,246
55447127.0,246
55447140.1,246
55447168.8,246
55447265.9,246
55447120.9,247
55447140.5,247
55447192.1,247
55447218.1,247
55447257.8,248
55447235.0,249
55445815.4,250
55447117.8,250
55447127.1,250
55447182.2,250
55447161.7,251
55447198.7,251
55445196.0,252
55445264.4,252
55447182.1,252
55447187.5,252
55447350.1,252
55445285.5,253
55447163.6,253
55445245.7,254
55445250.7,254
55447107.4,254
55447172.0,254
55447263.4,254
55447110.0,255
55447149.9,255
55445111.6,256
55445242.7,256
55445255.1,256
55447152.0,256
55447168.2,256
55447550.7,256
55445229.6,257
55445278.7,257
55447136.0,257
55447152.0,257
55447188.6,257
55447239.2,257
55447143.5,258
55447161.5,258
55447188.9,258
55447030.8,259
55447155.5,259
55447320.8,259
55447203.4,260
55447253.9,260
55447257.2,260
55447166.1,261
55447269.3,261
55445244.8,262
55447168.6,262
55445206.7,263
55447214.9,263
55447121.5,264
